idx,index,F1,F2,response,bat,bet,beet,bit,bought,boot
9,9,629.8334,1243.1596,bat,1,0,0,0,0,0
44,44,409.0105999999999,1995.5211,bet,0,1,0,0,0,0
7,7,519.422,1243.1596,bought,0,0,0,0,1,0
3,3,685.0391,1092.6873,bought,0,0,0,0,1,0
34,34,629.8334,1694.5765,bet,0,1,0,0,0,0
23,23,519.422,1544.1042,beet,0,0,1,0,0,0
20,20,353.8049,1544.1042,boot,0,0,0,0,0,1
17,17,629.8334,1393.6319,bat,1,0,0,0,0,0
50,50,243.39349999999996,2446.938,bit,0,0,0,1,0,0
29,29,353.8049,1694.5765,boot,0,0,0,0,0,1
27,27,740.2447999999999,1544.1042,bat,1,0,0,0,0,0
39,39,464.21629999999993,1845.0488,bet,0,1,0,0,0,0
35,35,685.0391,1694.5765,bet,0,1,0,0,0,0
46,46,298.59919999999994,2145.9934,beet,0,0,1,0,0,0
10,10,685.0391,1243.1596,bat,1,0,0,0,0,0
18,18,685.0391,1393.6319,bat,1,0,0,0,0,0
25,25,629.8334,1544.1042,bet,0,1,0,0,0,0
37,37,353.8049,1845.0488,boot,0,0,0,0,0,1
30,30,409.0105999999999,1694.5765,boot,0,0,0,0,0,1
36,36,298.59919999999994,1845.0488,boot,0,0,0,0,0,1
43,43,353.8049,1995.5211,bit,0,0,0,1,0,0
31,31,464.21629999999993,1694.5765,bet,0,1,0,0,0,0
1,1,574.6277,1092.6873,bought,0,0,0,0,1,0
5,5,409.0105999999999,1243.1596,boot,0,0,0,0,0,1
38,38,409.0105999999999,1845.0488,bit,0,0,0,1,0,0
0,0,519.422,1092.6873,bought,0,0,0,0,1,0
21,21,409.0105999999999,1544.1042,bit,0,0,0,1,0,0
6,6,464.21629999999993,1243.1596,bought,0,0,0,0,1,0
4,4,353.8049,1243.1596,boot,0,0,0,0,0,1
26,26,685.0391,1544.1042,bat,1,0,0,0,0,0
33,33,574.6277,1694.5765,bet,0,1,0,0,0,0
11,11,740.2447999999999,1243.1596,bat,1,0,0,0,0,0
22,22,464.21629999999993,1544.1042,bit,0,0,0,1,0,0
42,42,298.59919999999994,1995.5211,beet,0,0,1,0,0,0
24,24,574.6277,1544.1042,bet,0,1,0,0,0,0
40,40,519.422,1845.0488,bet,0,1,0,0,0,0
28,28,298.59919999999994,1694.5765,boot,0,0,0,0,0,1
45,45,464.21629999999993,1995.5211,bit,0,0,0,1,0,0
48,48,409.0105999999999,2145.9934,beet,0,0,1,0,0,0
14,14,464.21629999999993,1393.6319,boot,0,0,0,0,0,1
47,47,353.8049,2145.9934,beet,0,0,1,0,0,0
2,2,629.8334,1092.6873,bought,0,0,0,0,1,0
13,13,409.0105999999999,1393.6319,boot,0,0,0,0,0,1
41,41,574.6277,1845.0488,bet,0,1,0,0,0,0
12,12,353.8049,1393.6319,boot,0,0,0,0,0,1
16,16,574.6277,1393.6319,bat,1,0,0,0,0,0
32,32,519.422,1694.5765,bet,0,1,0,0,0,0
19,19,740.2447999999999,1393.6319,bat,1,0,0,0,0,0
49,49,298.59919999999994,2296.4656999999997,beet,0,0,1,0,0,0
8,8,574.6277,1243.1596,bought,0,0,0,0,1,0
15,15,519.422,1393.6319,bet,0,1,0,0,0,0
